Job Code,Date Accessed,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Keyword
818981000,2024-12-08,https://www.usajobs.gov/job/818981000,CIVIL ENGINEER,Department of the Navy,GS 13,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,None,No,Secret,No,113792,147934,Data Engineer
818997300,2024-12-08,https://www.usajobs.gov/job/818997300,Supervisory Architect / Mechanical Engineer / Civil Engineer,Environmental Protection Agency,GS 15,No,"Yes—NOTE: If you are an EPA employee who currently works at a remote work location (i.e., full-time telework), your approval for remote work does not transfer to this position.",Occasional travel - You may be required to travel for this position.,No,Permanent,Full-time,Competitive,15,Yes,Not Required,No,163964,191900,Data Engineer
819011500,2024-12-08,https://www.usajobs.gov/job/819011500,Supervisory Civil Engineer - Assistant Field Manager (Minerals),Department of the Interior,GS 13,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,"Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy. Travel and relocation expenses will be paid consistent with the Federal Travel Regulation, Chapter 302, and Departmental policy. Selectee will be responsible for tax obligations related to payments for moving expenses - 2017 Tax Cuts and Job Act, Public Law 115-97. See ""Additional Information"" section for additional information on 2017 Tax Cuts as related to PCS.",Permanent,Full-time,Competitive,13,Yes,Not Required,No,120246,156323,Data Engineer
819016900,2024-12-08,https://www.usajobs.gov/job/819016900,PROGRAM ANALYST (TITLE 32),Department of the Army,GS 9,No,No,Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Excepted,None,No,Not Required,No,59966,77955,Data Analyst
819022100,2024-12-08,https://www.usajobs.gov/job/819022100,CIVIL ENGINEER,Department of the Navy,ND 3,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",25% or less - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,None,No,Secret,No,101121,156323,Data Engineer
819024300,2024-12-08,https://www.usajobs.gov/job/819024300,ELECTRONICS ENGINEER,Department of the Navy,GS 9 - 11,No,"Yes—This position is eligible for part time, full time or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,13,No,Sensitive Compartmented Information,Yes,68405,107590,Data Engineer
819025500,2024-12-08,https://www.usajobs.gov/job/819025500,ENGINEERING TECHNICIAN,Department of the Navy,GS 11,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management. This position may require you to report in person for an established amount of days per pay period.",Occasional travel - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,11,No,Secret,No,79839,103787,Data Engineer
819028600,2024-12-08,https://www.usajobs.gov/job/819028600,OPERATIONS RESEARCH ANALYST,Department of the Navy,NH 3,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,3,No,Sensitive Compartmented Information,Yes,99200,153354,Data Analyst
819035100,2024-12-08,https://www.usajobs.gov/job/819035100,Supervisory Health Scientist,Department of Health and Human Services,GS 15,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,15,Yes,Other,No,163964,191900,Data Scientist
819036200,2024-12-08,https://www.usajobs.gov/job/819036200,Supervisory Health Scientist,Department of Health and Human Services,GS 15,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,15,Yes,Other,No,163964,191900,Data Scientist
